               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10847,             0.02713,            0.028924,          0.00077197,              0.1455,          0.00095878,          0.00015127,            0.092329,            0.019528,             0.02597,            0.070698,           0.0032558,           0.0032558
                   1,            0.091559,            0.025373,            0.024996,           0.0027671,             0.56032,           0.0064707,           0.0016104,             0.08327,            0.016058,            0.021119,            0.040685,           0.0065761,           0.0065761
                   2,            0.084656,            0.021583,            0.022173,           0.0028204,             0.58307,            0.063097,            0.016195,             0.08138,            0.012363,            0.020029,            0.010658,           0.0098832,           0.0098832
                   3,            0.079845,            0.020066,            0.021065,           0.0044635,             0.81429,            0.088011,            0.020625,            0.073984,            0.011892,            0.019189,           0.0099406,           0.0099406,           0.0099406
                   4,            0.078333,            0.018871,             0.01943,           0.0060462,                   1,            0.061612,            0.024461,            0.067251,            0.011563,            0.017237,           0.0099406,           0.0099406,           0.0099406
                   5,            0.072879,            0.020392,            0.018279,           0.0053889,             0.98571,             0.25662,            0.088373,            0.071479,            0.011548,            0.012005,           0.0099208,           0.0099208,           0.0099208
                   6,            0.066964,            0.018004,            0.015814,            0.037608,             0.77619,             0.11901,            0.038019,            0.059365,            0.012031,           0.0096713,            0.009901,            0.009901,            0.009901
                   7,            0.065709,            0.017397,            0.012819,             0.45119,             0.34942,             0.46961,             0.18112,            0.054683,            0.012706,           0.0074829,           0.0098812,           0.0098812,           0.0098812
                   8,            0.064302,            0.017419,            0.012573,             0.26888,             0.24074,             0.42639,             0.11413,             0.05187,            0.012217,           0.0054222,           0.0098614,           0.0098614,           0.0098614
                   9,            0.059571,            0.016661,            0.010835,             0.56484,             0.32841,             0.50826,             0.19508,            0.053597,            0.011214,           0.0049121,           0.0098416,           0.0098416,           0.0098416
                  10,            0.057624,            0.017152,            0.010777,             0.65038,             0.79665,             0.74293,             0.33445,            0.054879,            0.010132,           0.0042015,           0.0098218,           0.0098218,           0.0098218
                  11,             0.05742,            0.015751,           0.0098051,             0.66104,             0.82407,             0.75537,             0.29971,            0.051075,           0.0095686,           0.0037138,            0.009802,            0.009802,            0.009802
                  12,            0.052829,            0.014738,           0.0084895,             0.76036,             0.66931,              0.6866,             0.31481,            0.046655,           0.0087603,           0.0027464,           0.0097822,           0.0097822,           0.0097822
                  13,            0.054325,            0.012648,           0.0084165,             0.59819,             0.47196,             0.59063,             0.18275,            0.059351,           0.0075137,           0.0026395,           0.0097624,           0.0097624,           0.0097624
                  14,            0.050888,            0.012959,           0.0071311,             0.54936,              0.7291,             0.62522,             0.20479,            0.056018,           0.0073923,           0.0022601,           0.0097426,           0.0097426,           0.0097426
                  15,             0.04922,            0.012527,           0.0081156,             0.84042,             0.74762,             0.86274,             0.25125,            0.049228,           0.0071614,           0.0026789,           0.0097228,           0.0097228,           0.0097228
                  16,            0.051103,            0.011249,           0.0074766,             0.85827,             0.85398,              0.9437,             0.45999,            0.039776,           0.0072057,           0.0020404,            0.009703,            0.009703,            0.009703
                  17,            0.049204,             0.01124,           0.0063074,             0.86599,              0.9195,             0.90313,             0.45917,              0.0333,           0.0073937,           0.0023612,           0.0096832,           0.0096832,           0.0096832
                  18,            0.049332,            0.010491,           0.0057132,             0.74469,             0.83757,              0.8441,             0.40601,            0.040581,           0.0068987,            0.002204,           0.0096634,           0.0096634,           0.0096634
                  19,            0.049497,            0.010973,           0.0061392,             0.74099,             0.90157,             0.88207,             0.32062,            0.046156,            0.006413,           0.0020099,           0.0096436,           0.0096436,           0.0096436
                  20,            0.045262,            0.010643,           0.0076095,             0.76776,             0.78624,             0.82871,             0.29725,            0.042262,           0.0063467,           0.0020565,           0.0096238,           0.0096238,           0.0096238
                  21,            0.046808,           0.0092268,           0.0063862,             0.91683,             0.80417,             0.93935,              0.4777,            0.041524,           0.0060945,           0.0021183,            0.009604,            0.009604,            0.009604
                  22,            0.046731,           0.0096264,           0.0066903,             0.71282,             0.93016,             0.92057,             0.49621,            0.043521,           0.0059662,           0.0023999,           0.0095842,           0.0095842,           0.0095842
                  23,            0.042538,           0.0094439,           0.0048047,             0.95895,             0.87192,             0.96279,             0.54096,            0.031439,            0.006083,           0.0024795,           0.0095644,           0.0095644,           0.0095644
                  24,            0.046528,           0.0098701,            0.005772,             0.75874,             0.85339,             0.90601,              0.4683,            0.038465,           0.0056854,           0.0024908,           0.0095446,           0.0095446,           0.0095446
                  25,            0.043734,            0.009438,           0.0056916,              0.8581,             0.81249,             0.90216,             0.45402,            0.038916,           0.0057367,           0.0018214,           0.0095248,           0.0095248,           0.0095248
